dt,level,date.time,precip,pr,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,e.w,e.m
2005-05-29T07:00:00Z,180.4,2005-05-29T07:00:00Z,0,0,2.629999999999999,1.0300000000000005,0.47000000000000014,0.5300000000000001,0.47,2.280000000000001,0.6500000000000001,2.999999999999998,2.8,0.8400000000000001,0.01,0.6200000000000003,0,0.02,0.5300000000000002,0.3500000000000001,0.07,3.9699999999999944,0.8500000000000003,1.9100000000000006,0.8300000000000002,0.33000000000000007,0.6500000000000001,3.669999999999999,1.0300000000000005,0.9100000000000005,1.7600000000000007,1.2400000000000002,0.7000000000000002,0.04,1.2500000000000004,2.5899999999999985,0.13,0.18000000000000002,0.5800000000000001,2.199999999999999,1.2000000000000002,0.16000000000000003,2.3199999999999985,0.81,0,1.1000000000000003,0,0,0,0.07,0.01,0,0.27,0.43000000000000005,0.44000000000000006,1.2100000000000002,180,NA
2005-05-30T07:00:00Z,180.2,2005-05-30T07:00:00Z,0,0,2.1099999999999994,1.5900000000000007,0.44000000000000006,0.4800000000000002,0.31000000000000005,2.169999999999999,0.9300000000000002,2.1099999999999994,3.329999999999999,1.2800000000000005,0.01,0.6200000000000003,0,0,0.13,0.7600000000000005,0.04,3.9399999999999937,0.7500000000000002,2.08,0.8000000000000002,0.33000000000000007,0.6700000000000002,3.5300000000000002,0.9900000000000005,0.8300000000000003,2.0300000000000007,0.26000000000000006,1.6700000000000008,0.04,0.7600000000000002,2.4200000000000004,0.8,0.18000000000000002,0.18000000000000005,2.589999999999999,1.2100000000000002,0.15000000000000002,1.9400000000000008,1.2000000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,0,0.51,0.5600000000000002,1.2700000000000002,180.2,NA
2005-05-31T07:00:00Z,180.2,2005-05-31T07:00:00Z,0,0,2.0399999999999996,0.9900000000000002,0.8800000000000003,0.5700000000000003,0.45000000000000007,1.7700000000000007,1.3200000000000003,1.570000000000001,3.799999999999997,1.3600000000000005,0.01,0.32,0.30000000000000004,0,0.13,0.7000000000000004,0.1,1.7000000000000008,2.9600000000000004,2.0999999999999996,0.8100000000000002,0.33000000000000007,0.3600000000000001,3.649999999999999,0.7600000000000003,1.2200000000000004,1.6300000000000008,0.4600000000000001,1.900000000000001,0.04,0.5800000000000001,2.199999999999999,1.2000000000000002,0.17000000000000004,0.18000000000000005,2.0000000000000004,1.8,0.16000000000000003,1.8700000000000006,1.2700000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,0,0.5,0.5700000000000002,1.2600000000000002,180.4,NA
2005-06-01T07:00:00Z,180.3,2005-06-01T07:00:00Z,0,0,1.6100000000000005,1.0500000000000003,1.1400000000000006,0.5700000000000003,0.45000000000000007,1.5800000000000005,1.3000000000000005,1.2500000000000004,4.329999999999995,1.3600000000000005,0.01,0.19000000000000003,0.43000000000000016,0,0.13,0.7000000000000004,0.09,0.6600000000000001,4.009999999999999,1.8400000000000007,1.0700000000000003,0.32000000000000006,0.05,3.4199999999999977,1.2900000000000007,1.1700000000000004,0.9000000000000004,1.2500000000000002,1.890000000000001,0.060000000000000005,0.18000000000000005,2.589999999999999,1.2100000000000002,0.16000000000000003,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,1.2100000000000002,1.9300000000000004,0,1.1000000000000003,0,0,0,0.05,0.03,0,0,0.5,0.5500000000000002,1.2800000000000002,180.4,NA
2005-06-02T07:00:00Z,180.4,2005-06-02T07:00:00Z,0,0,1.0800000000000003,1.6900000000000006,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.5200000000000005,1.3600000000000005,1.2500000000000004,4.279999999999995,1.0700000000000003,0.35000000000000003,0,0.6200000000000003,0,0.13,0.7000000000000004,0.08,0.6700000000000002,3.8099999999999996,1.0700000000000005,1.9500000000000002,0.41000000000000014,0.05,2.879999999999997,1.780000000000001,0.9700000000000004,0.9400000000000004,1.4500000000000004,1.880000000000001,0.07,0.18000000000000005,2.0000000000000004,1.8,0.17000000000000004,0.05,1.6000000000000005,2.25,0.15,0.44,2.799999999999999,0,0.9400000000000002,0.15999999999999998,0,0,0.05,0.03,0,0,0.4700000000000001,0.5800000000000002,1.0400000000000003,180.6,NA
2005-06-03T07:00:00Z,180.4,2005-06-03T07:00:00Z,0,0,0.32000000000000006,2.4499999999999997,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.4100000000000004,1.1200000000000003,1.2900000000000007,4.2999999999999945,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.7000000000000004,0.06999999999999999,0.54,3.949999999999998,0.7700000000000002,2.2299999999999995,0.43000000000000016,0.04,2.3099999999999987,2.3600000000000008,0.7500000000000002,0.8700000000000004,1.7400000000000007,1.2900000000000003,0.6500000000000001,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,0.04,1.2500000000000004,2.5899999999999985,0.13,0.17000000000000004,3.119999999999997,0,0.9100000000000001,0.19,0,0,0.05,0.03,0,0,0.41000000000000003,0.6400000000000002,0.29000000000000015,180.7,NA
2005-06-04T07:00:00Z,180.3,2005-06-04T07:00:00Z,0,0,0.24000000000000005,2.5099999999999993,0.9600000000000004,0.48000000000000015,0.7400000000000002,0.8200000000000002,1.7100000000000009,0.7100000000000001,4.879999999999993,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.42000000000000015,0.3500000000000001,0.5200000000000001,3.9699999999999975,0.44000000000000017,2.4299999999999984,0.5600000000000002,0.04,0.7100000000000001,3.959999999999999,0.7500000000000002,0.8700000000000004,1.7400000000000007,1.2400000000000002,0.7000000000000002,0.05,1.6000000000000005,2.25,0.15,0.13,0.7600000000000002,2.4200000000000004,0.8,0.16000000000000003,3.129999999999997,0,0.07,1.0300000000000002,0,0,0.03,0.04,0.01,0,0.41000000000000003,0.6400000000000002,0.15,180.6,NA
2005-06-05T07:00:00Z,180.3,2005-06-05T07:00:00Z,0,0,0.03,2.649999999999999,1.0300000000000005,0.47000000000000014,0.5300000000000001,0.47,2.280000000000001,0.6500000000000001,2.999999999999998,2.8,0.8400000000000001,0.01,0.6200000000000003,0,0.02,0.5300000000000002,0.3500000000000001,0.07,3.9699999999999944,0.8500000000000003,1.9100000000000006,0.8300000000000002,0.33000000000000007,0.6500000000000001,3.669999999999999,1.0300000000000005,0.9100000000000005,1.7600000000000007,1.2400000000000002,0.7000000000000002,0.04,1.2500000000000004,2.5899999999999985,0.13,0.18000000000000002,0.5800000000000001,2.199999999999999,1.2000000000000002,0.16000000000000003,2.3199999999999985,0.81,0,1.1000000000000003,0,0,0,0.07,0.01,0,0.27,0.43000000000000005,0.44000000000000006,180.4,NA
2005-06-06T07:00:00Z,180.3,2005-06-06T07:00:00Z,0,0,0,2.1099999999999994,1.5900000000000007,0.44000000000000006,0.4800000000000002,0.31000000000000005,2.169999999999999,0.9300000000000002,2.1099999999999994,3.329999999999999,1.2800000000000005,0.01,0.6200000000000003,0,0,0.13,0.7600000000000005,0.04,3.9399999999999937,0.7500000000000002,2.08,0.8000000000000002,0.33000000000000007,0.6700000000000002,3.5300000000000002,0.9900000000000005,0.8300000000000003,2.0300000000000007,0.26000000000000006,1.6700000000000008,0.04,0.7600000000000002,2.4200000000000004,0.8,0.18000000000000002,0.18000000000000005,2.589999999999999,1.2100000000000002,0.15000000000000002,1.9400000000000008,1.2000000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,0,0.51,0.5600000000000002,180.2,180.3
2005-06-07T07:00:00Z,180.2,2005-06-07T07:00:00Z,0,0,0,2.0399999999999996,0.9900000000000002,0.8800000000000003,0.5700000000000003,0.45000000000000007,1.7700000000000007,1.3200000000000003,1.570000000000001,3.799999999999997,1.3600000000000005,0.01,0.32,0.30000000000000004,0,0.13,0.7000000000000004,0.1,1.7000000000000008,2.9600000000000004,2.0999999999999996,0.8100000000000002,0.33000000000000007,0.3600000000000001,3.649999999999999,0.7600000000000003,1.2200000000000004,1.6300000000000008,0.4600000000000001,1.900000000000001,0.04,0.5800000000000001,2.199999999999999,1.2000000000000002,0.17000000000000004,0.18000000000000005,2.0000000000000004,1.8,0.16000000000000003,1.8700000000000006,1.2700000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,0,0.5,0.5700000000000002,180.2,180.2
2005-06-08T07:00:00Z,180,2005-06-08T07:00:00Z,0,0,0.16000000000000003,1.7200000000000006,1.0500000000000003,1.1400000000000006,0.5700000000000003,0.45000000000000007,1.5800000000000005,1.3000000000000005,1.2500000000000004,4.329999999999995,1.3600000000000005,0.01,0.19000000000000003,0.43000000000000016,0,0.13,0.7000000000000004,0.09,0.6600000000000001,4.009999999999999,1.8400000000000007,1.0700000000000003,0.32000000000000006,0.05,3.4199999999999977,1.2900000000000007,1.1700000000000004,0.9000000000000004,1.2500000000000002,1.890000000000001,0.060000000000000005,0.18000000000000005,2.589999999999999,1.2100000000000002,0.16000000000000003,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,1.2100000000000002,1.9300000000000004,0,1.1000000000000003,0,0,0,0.05,0.03,0,0,0.5,0.5500000000000002,180.3,180.2
2005-06-09T07:00:00Z,180.1,2005-06-09T07:00:00Z,0,0,0.16000000000000003,1.0800000000000003,1.6900000000000006,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.5200000000000005,1.3600000000000005,1.2500000000000004,4.279999999999995,1.0700000000000003,0.35000000000000003,0,0.6200000000000003,0,0.13,0.7000000000000004,0.08,0.6700000000000002,3.8099999999999996,1.0700000000000005,1.9500000000000002,0.41000000000000014,0.05,2.879999999999997,1.780000000000001,0.9700000000000004,0.9400000000000004,1.4500000000000004,1.880000000000001,0.07,0.18000000000000005,2.0000000000000004,1.8,0.17000000000000004,0.05,1.6000000000000005,2.25,0.15,0.44,2.799999999999999,0,0.9400000000000002,0.15999999999999998,0,0,0.05,0.03,0,0,0.4700000000000001,0.5800000000000002,180.4,180.3
2005-06-10T07:00:00Z,180.1,2005-06-10T07:00:00Z,0,0,0.16000000000000003,0.32000000000000006,2.4499999999999997,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.4100000000000004,1.1200000000000003,1.2900000000000007,4.2999999999999945,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.7000000000000004,0.06999999999999999,0.54,3.949999999999998,0.7700000000000002,2.2299999999999995,0.43000000000000016,0.04,2.3099999999999987,2.3600000000000008,0.7500000000000002,0.8700000000000004,1.7400000000000007,1.2900000000000003,0.6500000000000001,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,0.04,1.2500000000000004,2.5899999999999985,0.13,0.17000000000000004,3.119999999999997,0,0.9100000000000001,0.19,0,0,0.05,0.03,0,0,0.41000000000000003,0.6400000000000002,180.4,180.1
2005-06-11T07:00:00Z,180,2005-06-11T07:00:00Z,0,0,0.16000000000000003,0.24000000000000005,2.5099999999999993,0.9600000000000004,0.48000000000000015,0.7400000000000002,0.8200000000000002,1.7100000000000009,0.7100000000000001,4.879999999999993,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.42000000000000015,0.3500000000000001,0.5200000000000001,3.9699999999999975,0.44000000000000017,2.4299999999999984,0.5600000000000002,0.04,0.7100000000000001,3.959999999999999,0.7500000000000002,0.8700000000000004,1.7400000000000007,1.2400000000000002,0.7000000000000002,0.05,1.6000000000000005,2.25,0.15,0.13,0.7600000000000002,2.4200000000000004,0.8,0.16000000000000003,3.129999999999997,0,0.07,1.0300000000000002,0,0,0.03,0.04,0.01,0,0.41000000000000003,0.6400000000000002,180.3,179.9
2005-06-12T07:00:00Z,180,2005-06-12T07:00:00Z,0,0,0.16000000000000003,0.03,2.649999999999999,1.0300000000000005,0.47000000000000014,0.5300000000000001,0.47,2.280000000000001,0.6500000000000001,2.999999999999998,2.8,0.8400000000000001,0.01,0.6200000000000003,0,0.02,0.5300000000000002,0.3500000000000001,0.07,3.9699999999999944,0.8500000000000003,1.9100000000000006,0.8300000000000002,0.33000000000000007,0.6500000000000001,3.669999999999999,1.0300000000000005,0.9100000000000005,1.7600000000000007,1.2400000000000002,0.7000000000000002,0.04,1.2500000000000004,2.5899999999999985,0.13,0.18000000000000002,0.5800000000000001,2.199999999999999,1.2000000000000002,0.16000000000000003,2.3199999999999985,0.81,0,1.1000000000000003,0,0,0,0.07,0.01,0,0.27,0.43000000000000005,180.3,180.3
2005-06-13T07:00:00Z,180,2005-06-13T07:00:00Z,0,0,0.7000000000000001,0,2.1099999999999994,1.5900000000000007,0.44000000000000006,0.4800000000000002,0.31000000000000005,2.169999999999999,0.9300000000000002,2.1099999999999994,3.329999999999999,1.2800000000000005,0.01,0.6200000000000003,0,0,0.13,0.7600000000000005,0.04,3.9399999999999937,0.7500000000000002,2.08,0.8000000000000002,0.33000000000000007,0.6700000000000002,3.5300000000000002,0.9900000000000005,0.8300000000000003,2.0300000000000007,0.26000000000000006,1.6700000000000008,0.04,0.7600000000000002,2.4200000000000004,0.8,0.18000000000000002,0.18000000000000005,2.589999999999999,1.2100000000000002,0.15000000000000002,1.9400000000000008,1.2000000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,0,0.51,180.3,180.4
2005-06-14T07:00:00Z,179.9,2005-06-14T07:00:00Z,0,0,0.7000000000000001,0,2.0399999999999996,0.9900000000000002,0.8800000000000003,0.5700000000000003,0.45000000000000007,1.7700000000000007,1.3200000000000003,1.570000000000001,3.799999999999997,1.3600000000000005,0.01,0.32,0.30000000000000004,0,0.13,0.7000000000000004,0.1,1.7000000000000008,2.9600000000000004,2.0999999999999996,0.8100000000000002,0.33000000000000007,0.3600000000000001,3.649999999999999,0.7600000000000003,1.2200000000000004,1.6300000000000008,0.4600000000000001,1.900000000000001,0.04,0.5800000000000001,2.199999999999999,1.2000000000000002,0.17000000000000004,0.18000000000000005,2.0000000000000004,1.8,0.16000000000000003,1.8700000000000006,1.2700000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,0,0.5,180.2,180.4
2005-06-15T07:00:00Z,180,2005-06-15T07:00:00Z,0,0,0.54,0.16000000000000003,1.7200000000000006,1.0500000000000003,1.1400000000000006,0.5700000000000003,0.45000000000000007,1.5800000000000005,1.3000000000000005,1.2500000000000004,4.329999999999995,1.3600000000000005,0.01,0.19000000000000003,0.43000000000000016,0,0.13,0.7000000000000004,0.09,0.6600000000000001,4.009999999999999,1.8400000000000007,1.0700000000000003,0.32000000000000006,0.05,3.4199999999999977,1.2900000000000007,1.1700000000000004,0.9000000000000004,1.2500000000000002,1.890000000000001,0.060000000000000005,0.18000000000000005,2.589999999999999,1.2100000000000002,0.16000000000000003,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,1.2100000000000002,1.9300000000000004,0,1.1000000000000003,0,0,0,0.05,0.03,0,0,0.5,180,180.3
2005-06-16T07:00:00Z,180.1,2005-06-16T07:00:00Z,0,0,0.54,0.16000000000000003,1.0800000000000003,1.6900000000000006,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.5200000000000005,1.3600000000000005,1.2500000000000004,4.279999999999995,1.0700000000000003,0.35000000000000003,0,0.6200000000000003,0,0.13,0.7000000000000004,0.08,0.6700000000000002,3.8099999999999996,1.0700000000000005,1.9500000000000002,0.41000000000000014,0.05,2.879999999999997,1.780000000000001,0.9700000000000004,0.9400000000000004,1.4500000000000004,1.880000000000001,0.07,0.18000000000000005,2.0000000000000004,1.8,0.17000000000000004,0.05,1.6000000000000005,2.25,0.15,0.44,2.799999999999999,0,0.9400000000000002,0.15999999999999998,0,0,0.05,0.03,0,0,0.4700000000000001,180.1,180.2
2005-06-17T07:00:00Z,179.8,2005-06-17T07:00:00Z,0.04,0.04,0.54,0.16000000000000003,0.32000000000000006,2.4499999999999997,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.4100000000000004,1.1200000000000003,1.2900000000000007,4.2999999999999945,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.7000000000000004,0.06999999999999999,0.54,3.949999999999998,0.7700000000000002,2.2299999999999995,0.43000000000000016,0.04,2.3099999999999987,2.3600000000000008,0.7500000000000002,0.8700000000000004,1.7400000000000007,1.2900000000000003,0.6500000000000001,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,0.04,1.2500000000000004,2.5899999999999985,0.13,0.17000000000000004,3.119999999999997,0,0.9100000000000001,0.19,0,0,0.05,0.03,0,0,0.41000000000000003,180.1,180
2005-06-18T07:00:00Z,179.8,2005-06-18T07:00:00Z,0,0,0.6800000000000002,0.16000000000000003,0.24000000000000005,2.5099999999999993,0.9600000000000004,0.48000000000000015,0.7400000000000002,0.8200000000000002,1.7100000000000009,0.7100000000000001,4.879999999999993,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.42000000000000015,0.3500000000000001,0.5200000000000001,3.9699999999999975,0.44000000000000017,2.4299999999999984,0.5600000000000002,0.04,0.7100000000000001,3.959999999999999,0.7500000000000002,0.8700000000000004,1.7400000000000007,1.2400000000000002,0.7000000000000002,0.05,1.6000000000000005,2.25,0.15,0.13,0.7600000000000002,2.4200000000000004,0.8,0.16000000000000003,3.129999999999997,0,0.07,1.0300000000000002,0,0,0.03,0.04,0.01,0,0.41000000000000003,180,179.9
2005-06-19T07:00:00Z,179.4,2005-06-19T07:00:00Z,0,0,0.6800000000000002,0.16000000000000003,0.03,2.649999999999999,1.0300000000000005,0.47000000000000014,0.5300000000000001,0.47,2.280000000000001,0.6500000000000001,2.999999999999998,2.8,0.8400000000000001,0.01,0.6200000000000003,0,0.02,0.5300000000000002,0.3500000000000001,0.07,3.9699999999999944,0.8500000000000003,1.9100000000000006,0.8300000000000002,0.33000000000000007,0.6500000000000001,3.669999999999999,1.0300000000000005,0.9100000000000005,1.7600000000000007,1.2400000000000002,0.7000000000000002,0.04,1.2500000000000004,2.5899999999999985,0.13,0.18000000000000002,0.5800000000000001,2.199999999999999,1.2000000000000002,0.16000000000000003,2.3199999999999985,0.81,0,1.1000000000000003,0,0,0,0.07,0.01,0,0.27,180,179.9
2005-06-20T07:00:00Z,179.4,2005-06-20T07:00:00Z,0,0,0.18,0.7000000000000001,0,2.1099999999999994,1.5900000000000007,0.44000000000000006,0.4800000000000002,0.31000000000000005,2.169999999999999,0.9300000000000002,2.1099999999999994,3.329999999999999,1.2800000000000005,0.01,0.6200000000000003,0,0,0.13,0.7600000000000005,0.04,3.9399999999999937,0.7500000000000002,2.08,0.8000000000000002,0.33000000000000007,0.6700000000000002,3.5300000000000002,0.9900000000000005,0.8300000000000003,2.0300000000000007,0.26000000000000006,1.6700000000000008,0.04,0.7600000000000002,2.4200000000000004,0.8,0.18000000000000002,0.18000000000000005,2.589999999999999,1.2100000000000002,0.15000000000000002,1.9400000000000008,1.2000000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,0,180,179.6
2005-06-21T07:00:00Z,179.6,2005-06-21T07:00:00Z,0,0,0.19,0.7000000000000001,0,2.0399999999999996,0.9900000000000002,0.8800000000000003,0.5700000000000003,0.45000000000000007,1.7700000000000007,1.3200000000000003,1.570000000000001,3.799999999999997,1.3600000000000005,0.01,0.32,0.30000000000000004,0,0.13,0.7000000000000004,0.1,1.7000000000000008,2.9600000000000004,2.0999999999999996,0.8100000000000002,0.33000000000000007,0.3600000000000001,3.649999999999999,0.7600000000000003,1.2200000000000004,1.6300000000000008,0.4600000000000001,1.900000000000001,0.04,0.5800000000000001,2.199999999999999,1.2000000000000002,0.17000000000000004,0.18000000000000005,2.0000000000000004,1.8,0.16000000000000003,1.8700000000000006,1.2700000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,0,179.9,180
2005-06-22T07:00:00Z,179.7,2005-06-22T07:00:00Z,0,0,0.19,0.54,0.16000000000000003,1.7200000000000006,1.0500000000000003,1.1400000000000006,0.5700000000000003,0.45000000000000007,1.5800000000000005,1.3000000000000005,1.2500000000000004,4.329999999999995,1.3600000000000005,0.01,0.19000000000000003,0.43000000000000016,0,0.13,0.7000000000000004,0.09,0.6600000000000001,4.009999999999999,1.8400000000000007,1.0700000000000003,0.32000000000000006,0.05,3.4199999999999977,1.2900000000000007,1.1700000000000004,0.9000000000000004,1.2500000000000002,1.890000000000001,0.060000000000000005,0.18000000000000005,2.589999999999999,1.2100000000000002,0.16000000000000003,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,1.2100000000000002,1.9300000000000004,0,1.1000000000000003,0,0,0,0.05,0.03,0,0,180,180.2
2005-06-23T07:00:00Z,179.6,2005-06-23T07:00:00Z,0,0,0.19,0.54,0.16000000000000003,1.0800000000000003,1.6900000000000006,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.5200000000000005,1.3600000000000005,1.2500000000000004,4.279999999999995,1.0700000000000003,0.35000000000000003,0,0.6200000000000003,0,0.13,0.7000000000000004,0.08,0.6700000000000002,3.8099999999999996,1.0700000000000005,1.9500000000000002,0.41000000000000014,0.05,2.879999999999997,1.780000000000001,0.9700000000000004,0.9400000000000004,1.4500000000000004,1.880000000000001,0.07,0.18000000000000005,2.0000000000000004,1.8,0.17000000000000004,0.05,1.6000000000000005,2.25,0.15,0.44,2.799999999999999,0,0.9400000000000002,0.15999999999999998,0,0,0.05,0.03,0,0,180.1,180.4
2005-06-24T07:00:00Z,179.5,2005-06-24T07:00:00Z,0,0,0.5800000000000001,0.54,0.16000000000000003,0.32000000000000006,2.4499999999999997,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.4100000000000004,1.1200000000000003,1.2900000000000007,4.2999999999999945,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.7000000000000004,0.06999999999999999,0.54,3.949999999999998,0.7700000000000002,2.2299999999999995,0.43000000000000016,0.04,2.3099999999999987,2.3600000000000008,0.7500000000000002,0.8700000000000004,1.7400000000000007,1.2900000000000003,0.6500000000000001,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,0.04,1.2500000000000004,2.5899999999999985,0.13,0.17000000000000004,3.119999999999997,0,0.9100000000000001,0.19,0,0,0.05,0.03,0,0,179.8,180.4
2005-06-25T07:00:00Z,179.7,2005-06-25T07:00:00Z,0,0,0.52,0.6800000000000002,0.16000000000000003,0.24000000000000005,2.5099999999999993,0.9600000000000004,0.48000000000000015,0.7400000000000002,0.8200000000000002,1.7100000000000009,0.7100000000000001,4.879999999999993,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.42000000000000015,0.3500000000000001,0.5200000000000001,3.9699999999999975,0.44000000000000017,2.4299999999999984,0.5600000000000002,0.04,0.7100000000000001,3.959999999999999,0.7500000000000002,0.8700000000000004,1.7400000000000007,1.2400000000000002,0.7000000000000002,0.05,1.6000000000000005,2.25,0.15,0.13,0.7600000000000002,2.4200000000000004,0.8,0.16000000000000003,3.129999999999997,0,0.07,1.0300000000000002,0,0,0.03,0.04,0.01,0,179.8,180.6
2005-06-26T07:00:00Z,179.7,2005-06-26T07:00:00Z,0,0,0.6900000000000001,0.6800000000000002,0.16000000000000003,0.03,2.649999999999999,1.0300000000000005,0.47000000000000014,0.5300000000000001,0.47,2.280000000000001,0.6500000000000001,2.999999999999998,2.8,0.8400000000000001,0.01,0.6200000000000003,0,0.02,0.5300000000000002,0.3500000000000001,0.07,3.9699999999999944,0.8500000000000003,1.9100000000000006,0.8300000000000002,0.33000000000000007,0.6500000000000001,3.669999999999999,1.0300000000000005,0.9100000000000005,1.7600000000000007,1.2400000000000002,0.7000000000000002,0.04,1.2500000000000004,2.5899999999999985,0.13,0.18000000000000002,0.5800000000000001,2.199999999999999,1.2000000000000002,0.16000000000000003,2.3199999999999985,0.81,0,1.1000000000000003,0,0,0,0.07,0.01,0,179.4,180.7
2005-06-27T07:00:00Z,179.5,2005-06-27T07:00:00Z,0.02,0.02,0.65,0.18,0.7000000000000001,0,2.1099999999999994,1.5900000000000007,0.44000000000000006,0.4800000000000002,0.31000000000000005,2.169999999999999,0.9300000000000002,2.1099999999999994,3.329999999999999,1.2800000000000005,0.01,0.6200000000000003,0,0,0.13,0.7600000000000005,0.04,3.9399999999999937,0.7500000000000002,2.08,0.8000000000000002,0.33000000000000007,0.6700000000000002,3.5300000000000002,0.9900000000000005,0.8300000000000003,2.0300000000000007,0.26000000000000006,1.6700000000000008,0.04,0.7600000000000002,2.4200000000000004,0.8,0.18000000000000002,0.18000000000000005,2.589999999999999,1.2100000000000002,0.15000000000000002,1.9400000000000008,1.2000000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,179.4,180.6
2005-06-28T07:00:00Z,179.4,2005-06-28T07:00:00Z,0,0,0.64,0.19,0.7000000000000001,0,2.0399999999999996,0.9900000000000002,0.8800000000000003,0.5700000000000003,0.45000000000000007,1.7700000000000007,1.3200000000000003,1.570000000000001,3.799999999999997,1.3600000000000005,0.01,0.32,0.30000000000000004,0,0.13,0.7000000000000004,0.1,1.7000000000000008,2.9600000000000004,2.0999999999999996,0.8100000000000002,0.33000000000000007,0.3600000000000001,3.649999999999999,0.7600000000000003,1.2200000000000004,1.6300000000000008,0.4600000000000001,1.900000000000001,0.04,0.5800000000000001,2.199999999999999,1.2000000000000002,0.17000000000000004,0.18000000000000005,2.0000000000000004,1.8,0.16000000000000003,1.8700000000000006,1.2700000000000002,0,1.1000000000000003,0,0,0,0.07,0.01,0,179.6,180.4
2005-06-29T07:00:00Z,179.3,2005-06-29T07:00:00Z,0,0,0.64,0.19,0.54,0.16000000000000003,1.7200000000000006,1.0500000000000003,1.1400000000000006,0.5700000000000003,0.45000000000000007,1.5800000000000005,1.3000000000000005,1.2500000000000004,4.329999999999995,1.3600000000000005,0.01,0.19000000000000003,0.43000000000000016,0,0.13,0.7000000000000004,0.09,0.6600000000000001,4.009999999999999,1.8400000000000007,1.0700000000000003,0.32000000000000006,0.05,3.4199999999999977,1.2900000000000007,1.1700000000000004,0.9000000000000004,1.2500000000000002,1.890000000000001,0.060000000000000005,0.18000000000000005,2.589999999999999,1.2100000000000002,0.16000000000000003,0.19000000000000006,1.7600000000000007,2.04,0.16000000000000003,1.2100000000000002,1.9300000000000004,0,1.1000000000000003,0,0,0,0.05,0.03,0,179.7,180.2
2005-06-30T07:00:00Z,179.3,2005-06-30T07:00:00Z,0,0,0.6900000000000001,0.19,0.54,0.16000000000000003,1.0800000000000003,1.6900000000000006,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.5200000000000005,1.3600000000000005,1.2500000000000004,4.279999999999995,1.0700000000000003,0.35000000000000003,0,0.6200000000000003,0,0.13,0.7000000000000004,0.08,0.6700000000000002,3.8099999999999996,1.0700000000000005,1.9500000000000002,0.41000000000000014,0.05,2.879999999999997,1.780000000000001,0.9700000000000004,0.9400000000000004,1.4500000000000004,1.880000000000001,0.07,0.18000000000000005,2.0000000000000004,1.8,0.17000000000000004,0.05,1.6000000000000005,2.25,0.15,0.44,2.799999999999999,0,0.9400000000000002,0.15999999999999998,0,0,0.05,0.03,0,179.6,180.2
